created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 13:14:40 +0000 2025,1953082296099348766,thomas ih tatapannya kek minta makan malam THOMASKONG LIVE TAIGEYE #TaigeyexThomasKong,0,0,0,0,in,1923740640954941446,1953082296099348766,mewithtmk,https://x.com/mewithtmk/status/1953082296099348766,https://pbs.twimg.com/amplify_video_thumb/1953077104448512000/img/F3ecaAAtT0suOZtM.jpg,,
Wed Aug 06 13:12:32 +0000 2025,1953081760948076915,Makan malam dulu habis itu mabar rosblok with my work mate,0,0,0,0,in,1149534094675472384,1953081760948076915,fgembil,https://x.com/fgembil/status/1953081760948076915,,♡ ,
Wed Aug 06 13:10:50 +0000 2025,1953081332676083772,"@Yogyakartaz Gaada yang nyebelin kan hari ini? Sudah tadi makan, kamu jangan lupa makan malam yaa.",0,1,0,0,in,573922527,1953076684803940545,oceanmett,https://x.com/oceanmett/status/1953081332676083772,,(21+) Laut Wijaya. ,Yogyakartaz
Wed Aug 06 13:10:10 +0000 2025,1953081165427929166,"fess met makan malam🥰 aku mam chicken curry katsu, kalian makan apa malam ini?",0,1,0,8,in,614421259,1953081165427929166,FFOODFESS,https://x.com/FFOODFESS/status/1953081165427929166,https://pbs.twimg.com/media/Gxq8-B7XEAAhJtj.jpg,pengaduan,
Wed Aug 06 13:08:06 +0000 2025,1953080644583735337,"Bayangin, jam 1 malam nyari makan di cegat beginian 😭😭",0,1,0,1,in,1909834567546290177,1953080644583735337,PsycheMatcha,https://x.com/PsycheMatcha/status/1953080644583735337,https://pbs.twimg.com/media/Gxq8fs7aUAA2VEj.jpg,"Kota Surabaya, Jawa Timur",
Wed Aug 06 13:08:04 +0000 2025,1953080635611824308,Yeay dapet teman makan lagi malam ini,0,0,0,0,in,1261187053573693440,1953080635611824308,FadedOranye,https://x.com/FadedOranye/status/1953080635611824308,,KWANGYA,
Wed Aug 06 13:03:34 +0000 2025,1953079500767379683,@gruliem310899 Kamu ud makan malam lom?,0,1,0,0,in,1912763731844689923,1953072092125249729,BukanPapaGula,https://x.com/BukanPapaGula/status/1953079500767379683,,"Tangerang, Indonesia",gruliem310899
Wed Aug 06 13:02:04 +0000 2025,1953079126039962019,"Setelah skip sarapan dan makan siang hari ini karena kehidupan yg darderdor lalu commuting dari cawang ke thamrin, makan malam jadi kerasa enak bgt. Salah satu dari makan malam terenak seumur hidupku🥲👍",0,1,0,0,in,838324626958639104,1953079126039962019,diztraksi,https://x.com/diztraksi/status/1953079126039962019,,,
Wed Aug 06 13:01:52 +0000 2025,1953079073351319737,@occultrite Malam ini aku dah makan soto ayam :3,0,1,0,0,in,1825378536623923200,1953055033723109649,emeraute,https://x.com/emeraute/status/1953079073351319737,,(22↑) Valerie Lou. ,occultrite
Wed Aug 06 13:00:32 +0000 2025,1953078739337621729,"🪵 teman-teman, tolong rekomendasikan saya makanan untuk makan malam!",0,27,0,0,in,1284050960013115393,1953078739337621729,muncorner,https://x.com/muncorner/status/1953078739337621729,,"⠀
⠀Autobase for cyber & unlabeled. (2025)
⠀Follow our sub base: @cornerpeeps

⠀Trigger: 🌳, 🍎, 🪵, 🍀
⠀",
Wed Aug 06 13:00:15 +0000 2025,1953078667900248258,"Rekomendasi menu makan malam dong moots. Biasanya warga X suka kasih rekomendasi unik-unik. Jujur lagi ngga pengen makan apa-apa, tapi laper 😌",1,1,0,0,in,200419124,1953078667900248258,windismeee,https://x.com/windismeee/status/1953078667900248258,,Stayville,
Wed Aug 06 12:59:57 +0000 2025,1953078593183002896,"Rabu malam enaknya makan sate maranggi, cuss langsung pesen 🍢",0,0,0,0,in,1285077668711391236,1953078593183002896,Maaoel,https://x.com/Maaoel/status/1953078593183002896,https://pbs.twimg.com/media/Gxq6oVFawAATAIo.jpg,"Bandung, Jawa Barat",
Wed Aug 06 12:59:42 +0000 2025,1953078530629320971,@cresenties Makan malam juga.,0,1,0,0,in,1809442489046364160,1953027998438785100,ganymeda,https://x.com/ganymeda/status/1953078530629320971,,📖 7/12,cresenties
Wed Aug 06 12:58:11 +0000 2025,1953078149727564189,Makan apa ya malam ini.,0,0,0,0,in,1938266312712851460,1953078149727564189,Rockthroad,https://x.com/Rockthroad/status/1953078149727564189,,,
Wed Aug 06 12:56:58 +0000 2025,1953077841438101619,gw makan godago tiap malam selama 5 hari berturut-turut kamar gw jadi bau sambel penyet,0,0,0,0,in,1718244189341954048,1953077841438101619,joreeew,https://x.com/joreeew/status/1953077841438101619,,,
Wed Aug 06 12:56:49 +0000 2025,1953077802665660759,@sunsminee Klo ak emang ga makan malam😁,0,1,0,0,in,986022810366525441,1953070681060721060,beireya,https://x.com/beireya/status/1953077802665660759,,AVAIL : GA & SPONSOR,sunsminee
Wed Aug 06 12:56:47 +0000 2025,1953077794604556493,"met malam, kalian makan malam apa?? aku makan ayam goyeng",0,8,0,0,in,1746066988311740416,1953077794604556493,jaeyunismine_,https://x.com/jaeyunismine_/status/1953077794604556493,,,
Wed Aug 06 12:56:16 +0000 2025,1953077665797423162,ky nya br tadi makan siang udh jam makan malam aj anj,0,1,0,0,in,1780172933568327680,1953077665797423162,miadmeliora,https://x.com/miadmeliora/status/1953077665797423162,,,
Wed Aug 06 12:55:24 +0000 2025,1953077446078808300,kesiannya i yang takut makan pill besar tapi kena amik magnesium setiap malam 😔,0,1,0,0,in,803629552572317696,1953077446078808300,far4dorable,https://x.com/far4dorable/status/1953077446078808300,,,
Wed Aug 06 12:53:57 +0000 2025,1953077080473612780,@butterlyies Hello sunhannie. Udh makan malam?,0,1,0,0,in,1237034483477409792,1953072418311836034,ice_americanoo,https://x.com/ice_americanoo/status/1953077080473612780,, nondat ,butterlyies
Wed Aug 06 12:52:40 +0000 2025,1953076757759963151,Kalian udah pada makan malam belum?,0,2,0,0,in,1529711268176678912,1953076757759963151,leamonnnn,https://x.com/leamonnnn/status/1953076757759963151,,,
Wed Aug 06 12:52:38 +0000 2025,1953076750164152514,Adek jam segini minta makan lagi. Ahir ahir ini selera makannya bagus banget..meski cuma sama sayur. Malam ini malah minta sama garam saja. Mana nasinya keras beras bansos itu.. semoga secepatnya Bigwin biar bisa beli Magicom baru biar nasinya awet hangatnya,0,0,0,2,in,1455796452387553283,1953076750164152514,EmakRainDirga,https://x.com/EmakRainDirga/status/1953076750164152514,,"Temanggung, Indonesia",
