created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,in_reply_to_screen_name
Wed Aug 06 16:14:04 +0000 2025,1953127444074119295,timnas lu kalah nih rick.,0,0,0,0,in,1178273360238657537,1953127444074119295,cl0ezapin,https://x.com/cl0ezapin/status/1953127444074119295,https://pbs.twimg.com/media/GxrnDTDaIAAt3ho.jpg,+6231,
Wed Aug 06 16:11:39 +0000 2025,1953126836894154778,@idextratime Katanya fokus timnas ? Timnas yg laki doang,0,0,0,0,in,1080828987943792645,1953100273305657823,FcknFF,https://x.com/FcknFF/status/1953126836894154778,,Antarctica,idextratime
Wed Aug 06 16:09:24 +0000 2025,1953126270574960906,@rizkyhandi_ @idextratime Mau jadi kaya timnas liechtenstein yg ga punya liga,0,0,0,0,in,1080828987943792645,1953100273305657823,FcknFF,https://x.com/FcknFF/status/1953126270574960906,,Antarctica,rizkyhandi_
Wed Aug 06 16:06:04 +0000 2025,1953125430019396019,@indosupporter Makan tuh timnas 😂,0,0,0,0,in,880703404762427394,1952955306818125988,dmnapun,https://x.com/dmnapun/status/1953125430019396019,,Indonesia,indosupporter
Wed Aug 06 16:02:15 +0000 2025,1953124471281467427,@GOAL_ID fokus pssi ada timnas pria buka wanita kura kura begitu pernyataan dari belio,0,0,0,0,in,115518063,1953055127541301270,chansykaskus,https://x.com/chansykaskus/status/1953124471281467427,,"Grogol Petamburan, Indonesia",GOAL_ID
Wed Aug 06 15:56:00 +0000 2025,1953122896664031700,"Kata gendut pssi fokus ke timnas, tapi timnasnya ......",0,0,0,0,in,1197714737863127040,1953122896664031700,Oktvnfh,https://x.com/Oktvnfh/status/1953122896664031700,,"Magelang, Jawa Tengah",
Wed Aug 06 15:54:42 +0000 2025,1953122569445412903,Sandy Walsh diajak tukeran jersey sama Macallister😍 #zona8football #florianwirtz #wirtz #mosalah #sandywalsh #timnasindonesia #timnas #timnasday #MacAllister #liverpool #LFC #LiverpoolFC #anfield #PremierLeague #ligainggris #YNWA #sepakbola #beritasepakbola #beritaolahraga,0,0,0,0,in,786339577,1953122569445412903,Zona8football1,https://x.com/Zona8football1/status/1953122569445412903,https://pbs.twimg.com/media/GxrinHqbQAAX0S1.jpg,"Jakarta, Indonesia",
Wed Aug 06 15:52:35 +0000 2025,1953122035103875539,"""tapi kita akan terus memberikan dukungan terbaik untuk Timnas Putri senior"" Bentuk dukungannya:",0,0,0,0,in,1206549837828653057,1953122035103875539,Purnomo26_,https://x.com/Purnomo26_/status/1953122035103875539,https://pbs.twimg.com/media/GxriI_Ia8AAzkzw.jpg,Disini,
Wed Aug 06 15:52:32 +0000 2025,1953122024269983895,"ini yang bikin males nonton liga + timnas indo, cem eek semua kualitasnya",0,0,0,0,in,1918941862838382592,1953122024269983895,pedriplatanito,https://x.com/pedriplatanito/status/1953122024269983895,,,
Wed Aug 06 15:51:12 +0000 2025,1953121689602261321,Hasil Timnas Putri India U-20 vs Timnas Putri Indonesia U-20: Skor 0-0,0,0,0,2,in,85537477,1953121689602261321,Bolanet,https://x.com/Bolanet/status/1953121689602261321,,,
Wed Aug 06 15:48:34 +0000 2025,1953121027170681276,"Resmi! Ini 4 Negara yang Adu Kuat di Piala Kemerdekaan 2025, Timnas Indonesia U-17 Hadapi Juara Asia",0,0,0,0,in,85537477,1953121027170681276,Bolanet,https://x.com/Bolanet/status/1953121027170681276,,,
Wed Aug 06 15:48:04 +0000 2025,1953120899206382003,"@GOAL_ID yang sudah jelas dan pasti, timnas wanita membutuhkan 2 kata ini 'LIGA WANITA'",0,0,0,0,in,298952040,1953055127541301270,rikiarya757,https://x.com/rikiarya757/status/1953120899206382003,,,GOAL_ID
Wed Aug 06 15:43:29 +0000 2025,1953119746511257985,@OghieGigs Ngelatih Liga 4 aja gagal promosi kok bisa direkom buat pelatih timnas (interm) 🫣🤦‍♂️,0,1,0,0,in,1077892181636014081,1953100738722165236,bukankiperarema,https://x.com/bukankiperarema/status/1953119746511257985,,,OghieGigs
Wed Aug 06 15:41:53 +0000 2025,1953119342784332001,@idextratime PSSI fokus y timnas bukan liga 🤣,0,0,0,0,in,245671359,1953100273305657823,orangbahagiasel,https://x.com/orangbahagiasel/status/1953119342784332001,,"Osaka-shi Konohana-ku, Osaka",idextratime
Wed Aug 06 15:40:00 +0000 2025,1953118871403282550,"Ketua Umum PSSI, Erick Thohir, menginginkan Timnas Indonesia memiliki gaya permainan yang seragam di semua level usia Selengkapnya 👇",0,0,0,0,in,626306017,1953118871403282550,tribunSUPERBALL,https://x.com/tribunSUPERBALL/status/1953118871403282550,,JAKARTA,
Wed Aug 06 15:40:00 +0000 2025,1953118870698377224,"Ketua Umum PSSI, Erick Thohir, menginginkan Timnas Indonesia memiliki gaya permainan yang seragam di semua level usia Selengkapnya 👇",0,0,0,0,in,78239324,1953118870698377224,BolaSportcom,https://x.com/BolaSportcom/status/1953118870698377224,,Indonesia,
